Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,pop2010,popDensity2010
Bronx,005,2,042901,"3,420",135.3
Bronx,005,2,042902,"3,845",161.7
Bronx,005,2,043000,"2,898",56.9
Bronx,005,2,043100,"9,680",182.7
Bronx,005,2,043400,"3,592",41.4
Bronx,005,2,043500,39,0.0
Bronx,005,2,043600,"2,032",53.2
Bronx,005,2,044200,"3,555",60.2
Bronx,005,2,044400,"3,878",43.0
Bronx,005,2,044800,"2,026",48.8
Bronx,005,2,044901,"1,818",46.5
Bronx,005,2,044902,"1,949",50.3
Bronx,005,2,045101,"1,656",38.3
Bronx,005,2,045102,"1,894",37.0
Bronx,005,2,045600,"2,896",14.2
Bronx,005,2,045800,"6,123",103.4
Bronx,005,2,046000,"2,741",38.5
Bronx,005,2,046201,"26,588",51.7
Bronx,005,2,046202,"8,277",35.4
Bronx,005,2,048400,"3,598",20.8
Bronx,005,2,050400,39,0.0
Bronx,005,2,051600,"4,362",10.8
Brooklyn,047,3,000100,"4,338",78.6
Brooklyn,047,3,000200,"1,470",20.4
Brooklyn,047,3,000301,"4,259",80.2
Brooklyn,047,3,000501,"4,247",205.3
Brooklyn,047,3,000502,"2,512",105.0
Brooklyn,047,3,000700,"3,359",78.0
Brooklyn,047,3,000900,"4,172",104.6
Brooklyn,047,3,001100,84,2.0
Brooklyn,047,3,001300,"2,275",31.5
Brooklyn,047,3,001500,"3,521",46.6
Brooklyn,047,3,001800,"2,105",3.6
Brooklyn,047,3,002000,"1,672",43.9
Brooklyn,047,3,002100,"3,604",29.5
Brooklyn,047,3,002200,"4,613",55.6
Brooklyn,047,3,002300,"4,247",94.4
Brooklyn,047,3,002901,"3,218",125.6
Brooklyn,047,3,003000,"1,730",62.5
Brooklyn,047,3,003100,"2,472",34.7
Brooklyn,047,3,003300,"2,327",57.2
Brooklyn,047,3,003400,"3,047",26.2
Brooklyn,047,3,003500,"1,554",47.3
Brooklyn,047,3,003600,"3,804",122.9
Brooklyn,047,3,003700,390,9.4
Brooklyn,047,3,003800,"1,498",46.5
Brooklyn,047,3,003900,"2,229",57.5
Brooklyn,047,3,004100,"3,598",89.9
Brooklyn,047,3,004300,"3,008",73.2
Brooklyn,047,3,004400,"2,359",22.2
Brooklyn,047,3,004500,"3,325",78.9
Brooklyn,047,3,004600,"1,199",16.2
Brooklyn,047,3,004700,"1,445",17.7
Brooklyn,047,3,004900,"2,516",104.4
Brooklyn,047,3,005000,"2,276",37.8
Brooklyn,047,3,005100,"2,171",48.4
Brooklyn,047,3,005201,"1,829",51.6
Brooklyn,047,3,005202,"2,481",67.8
Brooklyn,047,3,005300,"1,888",4.6
Brooklyn,047,3,005400,"3,139",76.2
Brooklyn,047,3,005601,"2,505",56.5
Brooklyn,047,3,005602,"1,586",39.3
Brooklyn,047,3,005800,"3,152",66.0
Brooklyn,047,3,005900,"1,384",15.7
Brooklyn,047,3,006000,"2,826",75.1
Brooklyn,047,3,006200,"2,853",71.1
Brooklyn,047,3,006300,"1,892",75.9
Brooklyn,047,3,006400,"3,478",69.3
Brooklyn,047,3,006500,"5,191",83.7
Brooklyn,047,3,006600,"3,663",96.4
Brooklyn,047,3,006700,"3,301",85.6
Brooklyn,047,3,006800,"4,870",106.2
Brooklyn,047,3,006900,"3,537",79.9
Brooklyn,047,3,007000,"2,344",64.4
Brooklyn,047,3,007100,"4,495",108.6
Brooklyn,047,3,007200,"1,946",119.8
Brooklyn,047,3,007400,"5,451",153.5
Brooklyn,047,3,007500,"4,383",62.7
Brooklyn,047,3,007600,"4,412",128.7
Brooklyn,047,3,007700,"3,901",40.3
Brooklyn,047,3,007800,"5,068",148.5
Brooklyn,047,3,008000,"4,169",124.6
Brooklyn,047,3,008200,"4,141",124.4
Brooklyn,047,3,008400,"3,299",56.2
Brooklyn,047,3,008500,"6,956",115.6
Brooklyn,047,3,008600,0,0.0
Brooklyn,047,3,008800,"3,207",68.5
Brooklyn,047,3,009000,"2,994",81.6
Brooklyn,047,3,009200,"5,388",192.6
Brooklyn,047,3,009400,"5,805",155.5
Brooklyn,047,3,009600,"6,126",164.5
Brooklyn,047,3,009800,"7,024",188.3
Brooklyn,047,3,010000,"6,737",180.6
Brooklyn,047,3,010100,"4,093",53.5
Brooklyn,047,3,010200,"5,622",149.2
Brooklyn,047,3,010400,"5,908",157.0
Brooklyn,047,3,010600,"5,851",156.9
Brooklyn,047,3,010800,"5,280",141.5
Brooklyn,047,3,011000,"2,441",62.5
Brooklyn,047,3,011200,"6,436",152.0
Brooklyn,047,3,011400,"3,976",95.9
Brooklyn,047,3,011600,"4,816",121.6
Brooklyn,047,3,011700,"2,364",47.2
Brooklyn,047,3,011800,"2,253",41.6
Brooklyn,047,3,011900,"1,530",9.4
Brooklyn,047,3,012000,"1,268",26.6
Brooklyn,047,3,012100,"1,619",44.2
Brooklyn,047,3,012200,"5,339",112.9
Brooklyn,047,3,012600,"2,652",47.4
Brooklyn,047,3,012700,"3,507",86.9
Brooklyn,047,3,012801,"2,117",74.5
Brooklyn,047,3,012901,"2,159",63.8
Brooklyn,047,3,012902,"1,964",62.5
Brooklyn,047,3,013000,"4,792",109.9
Brooklyn,047,3,013100,"3,828",99.1
Brooklyn,047,3,013200,"2,239",58.6
Brooklyn,047,3,013300,"3,730",101.6
Brooklyn,047,3,013400,"3,907",58.9
Brooklyn,047,3,013500,"3,596",95.8
Brooklyn,047,3,013600,"3,927",73.6
Brooklyn,047,3,013700,"3,057",81.2
Brooklyn,047,3,013800,"3,168",78.9
Brooklyn,047,3,013900,"3,481",93.1
Brooklyn,047,3,014000,"1,826",50.5
Brooklyn,047,3,014100,"3,017",73.8
Brooklyn,047,3,014200,"3,223",64.7
Brooklyn,047,3,014300,"3,487",65.0
Brooklyn,047,3,014500,"4,179",77.4
Brooklyn,047,3,014700,"2,084",78.0
Brooklyn,047,3,014800,"1,209",36.7
Brooklyn,047,3,014900,"4,976",81.5
Brooklyn,047,3,015000,"1,574",47.7
