Borough,tractID,pop2010,popDens2010
Brooklyn,002901,"3,218",94.4
Brooklyn,003000,"1,730",125.6
Brooklyn,003100,"2,472",62.5
Brooklyn,003300,"2,327",34.7
Brooklyn,003400,"3,047",57.2
Brooklyn,003500,"1,554",26.2
Brooklyn,003600,"3,804",47.3
Brooklyn,003700,390,122.9
Brooklyn,003800,"1,498",9.4
Brooklyn,003900,"2,229",46.5
Brooklyn,004100,"3,598",57.5
Brooklyn,004300,"3,008",89.9
Brooklyn,004400,"2,359",73.2
Brooklyn,004500,"3,325",22.2
Brooklyn,004600,"1,199",78.9
Brooklyn,004700,"1,445",16.2
Brooklyn,004900,"2,516",17.7
Brooklyn,005000,"2,276",104.4
Brooklyn,005100,"2,171",37.8
Brooklyn,005201,"1,829",48.4
Brooklyn,005202,"2,481",51.6
Brooklyn,005300,"1,888",67.8
Brooklyn,005400,"3,139",4.6
Brooklyn,005601,"2,505",76.2
Brooklyn,005602,"1,586",56.5
Brooklyn,005800,"3,152",39.3
Brooklyn,005900,"1,384",66.0
Brooklyn,006000,"2,826",15.7
Brooklyn,006200,"2,853",75.1
Brooklyn,006300,"1,892",71.1
Brooklyn,006400,"3,478",75.9
Brooklyn,006500,"5,191",69.3
Brooklyn,006600,"3,663",83.7
Brooklyn,006700,"3,301",96.4
Brooklyn,006800,"4,870",85.6
Brooklyn,006900,"3,537",106.2
Brooklyn,007000,"2,344",79.9
Brooklyn,007100,"4,495",64.4
Brooklyn,007200,"1,946",108.6
Brooklyn,007400,"5,451",119.8
Brooklyn,007500,"4,383",153.5
Brooklyn,007600,"4,412",62.7
Brooklyn,007700,"3,901",128.7
Brooklyn,007800,"5,068",40.3
Brooklyn,008000,"4,169",148.5
Brooklyn,008200,"4,141",124.6
Brooklyn,008400,"3,299",124.4
Brooklyn,008500,"6,956",56.2
Brooklyn,008600,0,115.6
Brooklyn,008800,"3,207",0.0
Brooklyn,009000,"2,994",68.5
Brooklyn,009200,"5,388",81.6
Brooklyn,009400,"5,805",192.6
Brooklyn,009600,"6,126",155.5
Brooklyn,009800,"7,024",164.5
Brooklyn,010000,"6,737",188.3
Brooklyn,010100,"4,093",180.6
Brooklyn,010200,"5,622",53.5
Brooklyn,010400,"5,908",149.2
Brooklyn,010600,"5,851",157.0
Brooklyn,010800,"5,280",156.9
Brooklyn,011000,"2,441",141.5
Brooklyn,011200,"6,436",62.5
Brooklyn,011400,"3,976",152.0
Brooklyn,011600,"4,816",95.9
Brooklyn,011700,"2,364",121.6
Brooklyn,011800,"2,253",47.2
Brooklyn,011900,"1,530",41.6
Brooklyn,012000,"1,268",9.4
Brooklyn,012100,"1,619",26.6
Brooklyn,012200,"5,339",44.2
Brooklyn,012600,"2,652",112.9
Brooklyn,012700,"3,507",47.4
Brooklyn,012801,"2,117",86.9
Brooklyn,012901,"2,159",74.5
Brooklyn,012902,"1,964",63.8
Brooklyn,013000,"4,792",62.5
Brooklyn,013100,"3,828",109.9
Brooklyn,013200,"2,239",99.1
Brooklyn,013300,"3,730",58.6
Brooklyn,013400,"3,907",101.6
Brooklyn,013500,"3,596",58.9
Brooklyn,013600,"3,927",95.8
Brooklyn,013700,"3,057",73.6
Brooklyn,013800,"3,168",81.2
Brooklyn,013900,"3,481",78.9
Brooklyn,014000,"1,826",93.1
Brooklyn,014100,"3,017",50.5
Brooklyn,014200,"3,223",73.8
Brooklyn,014300,"3,487",64.7
Brooklyn,014500,"4,179",65.0
Brooklyn,014700,"2,084",77.4
Brooklyn,014800,"1,209",78.0
Brooklyn,014900,"4,976",36.7
Brooklyn,015000,"1,574",81.5
Brooklyn,015100,"3,578",47.7
Brooklyn,015200,"2,309",97.0
Brooklyn,015300,"3,041",35.0
Brooklyn,015400,0,81.8
Brooklyn,015500,"3,272",0.0
Brooklyn,015700,"4,135",88.5
Brooklyn,015900,"5,036",100.0
Brooklyn,016000,"4,217",81.3
Brooklyn,016100,"3,075",65.9
Brooklyn,016200,"2,082",68.2
Brooklyn,016300,"2,991",34.9
Brooklyn,016400,764,65.8
Brooklyn,016500,"5,141",3.9
Brooklyn,016600,"2,059",111.6
Brooklyn,016700,"4,638",31.2
Brooklyn,016800,"1,510",111.1
Brooklyn,016900,"4,497",35.6
Brooklyn,017000,"3,254",86.9
Brooklyn,017100,"3,749",63.0
Brooklyn,017200,"2,931",72.9
Brooklyn,017400,"1,793",57.5
Brooklyn,017500,5,42.6
Brooklyn,017600,"2,295",0.0
Brooklyn,017700,0,65.2
Brooklyn,017800,"2,898",0.0
Brooklyn,017900,"3,624",71.5
Brooklyn,018000,"3,193",92.3
Brooklyn,018100,"3,936",73.4
Brooklyn,018200,"3,163",94.3
Brooklyn,018300,"2,500",77.4
Brooklyn,018400,"2,002",73.7
Brooklyn,018501,"3,827",54.3
Brooklyn,018600,"2,124",148.0
Brooklyn,018700,"1,411",76.0
Brooklyn,018800,"2,640",70.6
Brooklyn,019000,"4,782",61.0
Brooklyn,019100,"2,332",90.9
Brooklyn,019200,"2,772",37.7
Brooklyn,019300,"5,628",59.1
Brooklyn,019400,"3,305",84.4
Brooklyn,019500,"3,366",75.0
Brooklyn,019600,"4,353",99.4
Brooklyn,019700,"3,313",93.6
Brooklyn,019800,"1,702",78.9
Brooklyn,019900,"2,929",51.1
Brooklyn,020000,"2,265",62.7
Brooklyn,020100,"3,421",68.0
Brooklyn,020200,"1,874",78.9
Brooklyn,020300,"1,697",56.2
Brooklyn,020400,"1,708",48.8
Brooklyn,020500,"2,469",51.3
Brooklyn,020600,"2,220",62.6
Brooklyn,020700,"4,310",52.7
Brooklyn,020800,"3,048",125.7
Brooklyn,021000,"3,968",86.1
Brooklyn,021100,"1,210",107.0
Brooklyn,021200,"4,643",25.4
Brooklyn,021300,"4,205",98.5
Brooklyn,021400,"2,152",92.4
Brooklyn,021500,"5,307",51.8
Brooklyn,021600,"4,015",139.0
Brooklyn,021700,"3,597",96.6
Brooklyn,021800,"3,761",121.6
Brooklyn,021900,"3,595",96.4
Brooklyn,022000,"4,939",98.9
Brooklyn,022100,"3,609",102.9
Brooklyn,022200,"4,693",97.4
Brooklyn,022400,"5,486",107.8
Brooklyn,022600,"2,516",126.5
Brooklyn,022700,"3,454",65.2
Brooklyn,022800,"3,306",58.1
Brooklyn,022900,"3,395",79.9
Brooklyn,023000,"4,515",80.0
Brooklyn,023100,"3,025",121.0
Brooklyn,023200,"5,699",76.8
Brooklyn,023300,"5,061",101.9
Brooklyn,023400,"5,059",119.2
Brooklyn,023500,"3,928",120.6
Brooklyn,023600,"5,600",112.3
Brooklyn,023800,"4,590",133.4
Brooklyn,024000,"4,693",109.3
Brooklyn,024100,"2,229",111.9
Brooklyn,024200,"2,984",50.1
Brooklyn,024300,"3,786",63.1
Brooklyn,024400,"3,238",99.3
Brooklyn,024500,"3,946",84.4
Brooklyn,024600,"3,256",95.7
Brooklyn,024700,"2,316",76.2
Brooklyn,024800,"2,698",51.5
Brooklyn,024900,"3,823",62.0
Brooklyn,025000,"1,722",91.8
Brooklyn,025100,"3,816",40.2
Brooklyn,025200,"4,786",111.5
Brooklyn,025300,"2,754",106.9
Brooklyn,025400,"3,500",68.9
Brooklyn,025500,"5,102",80.7
Brooklyn,025600,"3,058",148.9
Brooklyn,025700,"2,131",71.4
Brooklyn,025800,"4,597",47.6
Brooklyn,025901,"2,010",109.3
Brooklyn,025902,"3,419",101.4
Brooklyn,026000,"3,649",232.1
Brooklyn,026100,"4,917",90.7
Brooklyn,026200,"2,374",99.8
Brooklyn,026300,"1,868",60.9
Brooklyn,026400,"4,592",63.2
Brooklyn,026500,"3,838",98.1
Brooklyn,026600,"3,733",97.3
Brooklyn,026700,"3,920",91.1
Brooklyn,026800,"4,188",99.4
Brooklyn,026900,"2,770",94.7
Brooklyn,027000,"2,449",83.7
Brooklyn,027100,"2,471",74.0
Brooklyn,027200,"3,480",38.2
Brooklyn,027300,"2,813",106.6
Brooklyn,027400,"3,028",76.0
Brooklyn,027500,"4,180",75.0
Brooklyn,027600,"3,694",104.4
Brooklyn,027700,"3,945",100.1
Brooklyn,027800,"3,220",98.5
Brooklyn,027900,"3,674",81.2
Brooklyn,028000,"1,761",91.8
Brooklyn,028100,"4,193",48.8
Brooklyn,028200,"2,943",104.8
Brooklyn,028300,"4,097",65.9
Brooklyn,028400,"4,003",136.0
Brooklyn,028501,428,98.6
Brooklyn,028502,"2,802",20.8
Brooklyn,028600,"4,814",94.6
Brooklyn,028700,"2,991",109.4
Brooklyn,028800,"3,458",81.2
Brooklyn,028900,"3,538",91.6
Brooklyn,029000,"3,920",86.5
Brooklyn,029100,"3,101",102.5
Brooklyn,029200,"2,539",76.2
Brooklyn,029300,"3,106",51.6
Brooklyn,029400,"2,321",76.4
Brooklyn,029500,"3,425",49.7
Brooklyn,029600,"5,546",84.2
Brooklyn,029700,"3,344",104.8
Brooklyn,029800,"3,717",65.8
Brooklyn,029900,"2,579",68.1
Brooklyn,030000,"4,120",72.7
Brooklyn,030100,"2,750",85.5
Brooklyn,030200,"4,214",57.2
Brooklyn,030300,"4,458",80.7
Brooklyn,030400,"4,281",71.1
Brooklyn,030500,"5,549",37.9
Brooklyn,030600,"2,005",69.6
Brooklyn,030700,"4,544",41.9
Brooklyn,030800,"1,949",69.2
Brooklyn,030900,"1,754",11.5
Brooklyn,031100,"2,833",49.8
Brooklyn,031300,"4,648",78.6
Brooklyn,031400,"4,544",108.1
Brooklyn,031500,"5,175",21.1
Brooklyn,031701,"3,433",116.5
Brooklyn,031702,"3,363",99.4
Brooklyn,031900,"3,508",97.4
Brooklyn,032100,"5,001",93.8
Brooklyn,032300,"3,554",126.4
Brooklyn,032500,"6,405",83.1
Brooklyn,032600,"6,948",153.9
Brooklyn,032700,"2,924",85.5
Brooklyn,032800,"3,138",66.8
Brooklyn,032900,"5,582",54.5
Brooklyn,033000,"4,587",144.4
Brooklyn,033100,"4,520",54.8
Brooklyn,033300,"4,085",128.4
Brooklyn,033500,"3,139",88.7
Brooklyn,033600,"4,759",70.3
Brooklyn,033700,"4,105",28.4
Brooklyn,033900,"4,376",84.1
Brooklyn,034000,"2,248",98.0
Brooklyn,034100,"2,607",70.1
Brooklyn,034200,"6,502",75.5
Brooklyn,034300,"5,281",114.4
Brooklyn,034500,"2,647",131.8
Brooklyn,034700,"3,228",65.5
Brooklyn,034800,"2,537",93.5
Brooklyn,034900,"5,403",17.8
Brooklyn,035000,"3,296",134.0
Brooklyn,035100,"4,597",67.9
Brooklyn,035200,"1,246",114.1
Brooklyn,035300,"5,161",5.4
Brooklyn,035400,"6,271",128.1
Brooklyn,035500,"5,253",66.9
Brooklyn,035601,"2,912",153.6
Brooklyn,035602,"5,271",183.3
Brooklyn,035700,"2,506",122.0
Brooklyn,035900,"5,685",55.9
Brooklyn,036001,"3,217",124.9
Brooklyn,036002,"3,930",137.1
Brooklyn,036100,"2,608",184.9
Brooklyn,036200,"4,204",76.2
Brooklyn,036300,"4,108",99.4
Brooklyn,036400,"2,405",64.0
Brooklyn,036501,"2,624",67.9
Brooklyn,036502,"1,255",84.0
Brooklyn,036600,"4,767",42.2
Brooklyn,036700,"1,305",83.0
Brooklyn,036900,"4,923",28.5
Brooklyn,037000,"4,085",87.9
Brooklyn,037100,"4,120",48.9
Brooklyn,037300,"3,784",88.1
Brooklyn,037401,"4,301",89.6
Brooklyn,037402,"4,573",77.2
Brooklyn,037500,"2,910",61.5
Brooklyn,037700,"3,660",74.2
Brooklyn,037900,"3,706",77.9
Brooklyn,038100,"4,763",81.6
Brooklyn,038200,"5,943",80.5
Brooklyn,038300,"3,931",103.2
Brooklyn,038500,"3,422",91.1
Brooklyn,038600,"3,477",79.4
Brooklyn,038700,"4,010",56.0
Brooklyn,038800,"3,841",86.2
Brooklyn,038900,"2,773",78.5
Brooklyn,039000,"2,282",68.9
Brooklyn,039100,"2,303",53.1
Brooklyn,039200,"2,756",56.1
Brooklyn,039300,"3,549",63.9
Brooklyn,039400,"2,441",75.7
Brooklyn,039500,"3,380",51.4
Brooklyn,039600,"2,126",85.6
Brooklyn,039700,"3,389",52.7
Brooklyn,039800,"2,644",86.2
Brooklyn,039900,"3,823",52.7
Brooklyn,040000,"3,069",102.3
Brooklyn,040100,"3,518",64.7
